epoch,loss,accuracy
1,4.51529102859497,3.67
2,4.2085203948974605,7.11
3,4.0771524040222165,7.88
4,4.012838562011718,8.49
5,3.901380084228516,11.38
6,3.8421032157897947,12.29
7,3.7877347770690917,13.23
8,3.762313816833496,13.06
9,3.705471928024292,14.5
10,3.669711944580078,15.15
11,3.644649810409546,15.71
12,3.6138675952911377,16.27
13,3.5919761360168456,16.35
14,3.563356051635742,17.22
15,3.566159656524658,17.16
16,3.5372934627532957,18.1
17,3.5432401943206786,17.23
18,3.492866879272461,18.15
19,3.475754800415039,18.84
20,3.4880952033996584,18.09
21,3.4423693313598633,19.21
22,3.4158617652893066,19.89
23,3.427547585296631,20.12
24,3.429698875427246,19.69
25,3.4034695156097414,20.28
26,3.3751921154022217,20.35
27,3.3560361030578614,21.27
28,3.3591995151519773,20.37
29,3.3251876037597654,20.95
30,3.311698302078247,21.67
31,3.3121246627807617,21.77
32,3.3221975635528564,21.43
33,3.2675737056732177,22.92
34,3.29601081199646,21.76
35,3.27797653503418,22.3
36,3.265970623779297,22.67
37,3.258792682266235,22.81
38,3.2840429344177244,22.28
39,3.2492514362335205,22.58
40,3.3177065013885496,21.45
41,3.3218946475982665,21.59
42,3.256509725189209,23.23
43,3.2967486289978027,22.14
44,3.230488187789917,23.3
45,3.2548710960388183,23.16
46,3.278485707092285,23.07
47,3.26455599899292,22.81
48,3.1730505016326904,24.5
49,3.222980643081665,24.1
50,3.2766635845184324,23.05
