loss,accuracy
4.515238960266113,3.36
4.198252668762207,6.42
4.068373318862915,7.95
3.996616616821289,9.13
3.9117334045410157,10.12
3.8454805572509767,11.24
3.784513235092163,13.12
3.748307009887695,13.73
3.7305477752685547,14.2
3.6830339385986326,14.6
3.6880550605773927,14.97
3.6741380554199217,15.03
3.5923541320800783,16.56
3.569434433364868,17.19
3.565601212310791,17.41
3.544244609451294,17.04
3.50406332321167,18.45
3.507424169921875,17.88
3.467658093261719,18.42
3.5071711521148683,17.71
3.4444969959259035,18.87
3.4350394401550295,19.39
3.5062126358032226,17.98
3.3966974369049074,20.12
3.3993196243286135,20.03
3.466556479644775,18.94
3.3472121829986574,21.14
3.335801985168457,21.18
3.3193006996154786,21.48
3.313952363204956,21.27
3.3515170684814453,21.2
3.347539009094238,21.19
3.2665933917999266,22.64
3.285623384475708,22.26
3.2976143608093262,21.77
3.25436176071167,22.87
3.3118615600585937,21.84
3.2683246215820314,23.18
3.251205506134033,23.08
3.30453829498291,22.25
3.244930459213257,23.15
3.1989149879455567,23.82
3.2059342929840087,24.05
3.289058997344971,22.43
3.223775109100342,23.45
3.1703859199523925,24.46
3.178611241912842,24.52
3.2194457111358643,23.38
3.192955055999756,23.96
3.2642459712982177,22.52
