epoch,loss,accuracy
1,3.8450164608001707,9.26
2,3.4662104888916017,16.71
3,3.1694785579681395,22.59
4,2.8267398914337156,29.75
5,2.5577708965301515,34.42
6,2.3009713371276854,38.97
7,2.0946551486968996,44.05
8,2.0231560913085938,45.7
9,1.923981933403015,47.56
10,1.8745888343811035,48.35
11,1.8031763954162598,51.24
12,2.0526774269104004,47.08
13,1.943979642868042,48.99
14,1.6952422632217408,54.42
15,1.7867819017410278,52.46
16,1.829435405921936,52.19
17,1.6722317058563232,54.98
18,1.6541765913009643,55.8
19,1.5271926170349122,57.59
20,1.6427896366119386,55.28
21,1.7012557748794557,53.85
22,1.713180923461914,54.92
23,2.1093464891433715,47.7
24,1.744946492767334,53.4
25,1.6106155151367187,57.0
26,1.5614994430541993,57.97
27,1.6235461101531983,57.23
28,1.5837712261199952,57.46
29,1.5287020153045654,58.12
30,1.6814329929351806,56.11
31,1.5656566106796264,57.78
32,1.6618683238983154,56.16
33,1.7896562564849854,55.04
34,1.7208857677459717,56.19
35,1.6568113565444946,57.26
36,1.720090123939514,56.05
37,1.5791256433486938,57.98
38,1.5398403535842895,59.58
39,1.576594331741333,58.76
40,1.5603057516098022,58.1
41,1.8497236860275268,53.12
42,1.465426579475403,60.25
43,1.6341311882019043,56.82
44,1.566248427772522,57.85
45,1.5948988830566406,57.63
46,1.6838748970031738,56.14
47,1.8325587608337401,54.39
48,1.610346559524536,58.1
49,1.495245417022705,59.7
50,0.9229288478851319,73.91
