epoch,loss,accuracy
1,3.649711432647705,12.59
2,3.4399338718414305,19.18
3,2.8550776191711424,28.44
4,2.692306023788452,31.47
5,2.7307201808929444,32.92
6,2.192281545639038,42.13
7,2.2099201850891115,41.39
8,2.146245265197754,43.56
9,2.135817998504639,45.88
10,2.5280272724151613,40.83
11,2.182411580657959,44.87
12,2.0812419368743895,46.21
13,1.978313550567627,47.22
14,2.309629636001587,43.29
15,1.7793073150634766,51.33
16,2.081269383621216,46.8
17,2.025812423706055,48.4
18,1.8473795482635498,51.65
19,2.0908429290771484,46.09
20,2.009868599319458,48.48
21,2.628554376602173,43.03
22,1.803944553375244,52.83
23,1.8524031978607178,51.3
24,1.8445606685638427,51.6
25,1.8298674669265746,50.75
26,2.2634169631958008,45.51
27,1.7978245151519776,52.08
28,1.7910924046516419,52.49
29,1.9761465660095214,48.9
30,1.9993333225250245,49.22
31,1.9291534132003785,50.06
32,1.891923540878296,51.85
33,2.0500415607452394,47.6
34,1.9846227905273437,50.27
35,1.9388368225097656,51.28
36,2.1891285682678223,46.64
37,1.8638580268859863,52.0
38,2.4837663776397707,42.11
39,1.696131156539917,54.49
40,1.8667986862182617,51.79
41,1.8433643815994263,51.76
42,1.7575375106811524,52.79
43,2.1347510910034178,48.12
44,1.8574945816040038,52.63
45,1.8422865928649903,51.94
46,1.724640306854248,53.88
47,1.7881729633331298,52.27
48,1.9637103645324707,50.09
49,1.6914806964874267,54.78
50,1.0846399890899658,68.33
